table[0]:  2 0
table[3129]: ay 3 1
table[3139]: be 339 0
table[3144]: hearted 1 0
table[3159]: by 176 0
table[3180]: willingly 1 0
table[3182]: approof 1 0
table[3201]: de 2 0
table[3210]: witnesses 2 0
table[3211]: do 176 0
table[3235]: eh 1 0
table[3288]: o'ertake 1 0
table[3294]: i' 2 0
table[3295]: sorrows 4 0
table[3303]: slipped 3 0
table[3304]: go 61 0
table[3325]: he 198 0
table[3329]: excuse 6 0
table[3333]: hm 1 0
table[3344]: world's 5 0
table[3357]: if 171 0
table[3360]: ii 2 0
table[3364]: blanks 1 0
table[3365]: in 760 0
table[3370]: is 311 0
table[3371]: it 675 0
table[3373]: iv 2 0
table[3375]: ix 2 0
table[3398]: approve 3 0
table[3437]: day 58 0
table[3442]: benefit 2 0
table[3447]: willing 2 0
table[3459]: appearing 2 0
table[3460]: lo 3 1
table[3476]: ma 2 0
table[3480]: me 243 0
table[3481]: o' 1 1
table[3500]: my 481 0
table[3504]: favourites 1 0
table[3521]: no 185 0
table[3543]: of 980 0
table[3545]: oh 45 0
table[3551]: on 285 0
table[3552]: debateth 1 1
table[3555]: or 178 0
table[3558]: ou 1 0
table[3567]: describing 1 0
table[3612]: insufficiency 1 0
table[3635]: re 2 0
table[3636]: t' 1 1
table[3643]: eyelids 3 0
table[3657]: nearer 5 0
table[3664]: did 92 0
table[3665]: die 15 0
table[3667]: dig 2 0
table[3668]: shrinking 4 0
table[3669]: sh 2 0
table[3676]: so 317 0
table[3682]: construed 1 0
table[3699]: whoever 2 0
table[3703]: gentlemen 1 0
table[3707]: to 1226 0
table[3722]: buried 6 0
table[3739]: up 124 0
table[3742]: us 24 0
table[3759]: strains 1 0
table[3763]: vi 2 0
table[3767]: untainted 1 0
table[3787]: breeze 1 0
table[3790]: we 56 0
table[3799]: ruining 1 0
table[3825]: xi 1 0
table[3851]: ceiling 1 0
table[3852]: ye 3 0
table[3853]: dog 2 0
table[3854]: became 2 3
table[3870]: contented 4 0
table[3881]: nearly 12 0
table[3915]: style 3 0
table[3952]: gain 4 0
table[3958]: gait 1 0
table[3964]: dry 9 0
table[4009]: pull 1 0
table[4037]: due 7 0
table[4046]: dun 1 0
table[4067]: game 12 0
table[4092]: disdains 1 0
table[4102]: sternly 1 0
table[4115]: various 1 0
table[4125]: wasting 2 0
table[4136]: gaol 1 0
table[4153]: reviewest 1 0
table[4161]: dye 1 0
table[4188]: pure 2 0
table[4210]: tumbled 1 0
table[4219]: attended 1 0
table[4222]: push 1 0
table[4233]: puss 1 0
table[4250]: wrackful 1 0
table[4264]: puts 1 0
table[4284]: gate 1 0
table[4304]: fruit 1 0
table[4317]: normans 1 0
table[4322]: moan 5 0
table[4337]: friendship 1 0
table[4339]: saucepans 1 0
table[4346]: gave 20 0
table[4353]: copyright 2 0
table[4381]: mock 59 0
table[4391]: ear 9 0
table[4393]: eat 21 0
table[4443]: muttering 3 0
table[4470]: gaze 2 0
table[4471]: crowning 1 1
table[4487]: knuckles 1 0
table[4489]: amends 1 0
table[4509]: eel 2 0
table[4566]: egg 1 0
table[4624]: pennyworth 1 0
table[4654]: ornament 5 0
table[4661]: settled 4 0
table[4662]: keeps 5 0
table[4665]: quarrelled 1 0
table[4671]: express 2 0
table[4672]: vassal 2 0
table[4688]: inhearse 1 0
table[4708]: asked 18 0
table[4709]: paint 1 0
table[4710]: pains 1 2
table[4711]: crests 1 0
table[4722]: secure 1 0
table[4748]: sweets 6 0
table[4756]: moon 4 0
table[4776]: difference 1 0
table[4780]: end 30 0
table[4791]: featureless 1 0
table[4806]: evening 5 0
table[4832]: pairs 1 0
table[4837]: afore 1 0
table[4840]: more 117 0
table[4849]: morn 2 0
table[4858]: confess 1 0
table[4886]: most 38 0
table[4887]: salutation 1 0
table[4905]: ere 7 0
table[4912]: purring 2 0
table[4918]: err 1 0
table[4935]: station 1 0
table[4940]: enjoy 3 0
table[4948]: esq 1 0
table[4951]: est 1 0
table[4952]: legged 2 0
table[4964]: move 5 0
table[4965]: etc 1 0
table[5015]: dwells 1 0
table[5048]: fools 1 0
table[5071]: mabel 4 0
table[5096]: anything 21 0
table[5103]: annexed 1 0
table[5122]: eye 46 0
table[5134]: wills 2 0
table[5148]: unlocking 1 0
table[5156]: beseem 1 0
table[5197]: valiant 1 0
table[5232]: pitiful 1 0
table[5246]: weak 5 0
table[5253]: wear 5 0
table[5263]: porridge 1 0
table[5311]: repeat 7 0
table[5348]: fan 10 0
table[5349]: stigand 1 1
table[5352]: far 31 0
table[5353]: befits 1 1
table[5354]: fat 1 0
table[5363]: weed 3 0
table[5370]: week 3 0
table[5375]: weep 4 0
table[5384]: they'll 4 0
table[5395]: kitchen 4 0
table[5405]: shouldn't 5 0
table[5442]: curiosity 5 0
table[5462]: fed 1 0
table[5463]: fee 1 0
table[5473]: familiar 1 0
table[5481]: few 11 0
table[5483]: flies 3 0
table[5484]: possessing 2 0
table[5498]: refreshments 1 0
table[5522]: possession 2 0
table[5561]: diligently 1 0
table[5563]: they're 13 0
table[5588]: well 102 0
table[5589]: fig 1 0
table[5594]: pitying 1 0
table[5602]: fit 4 0
table[5605]: everybody 8 0
table[5606]: fix 1 0
table[5610]: recite 1 0
table[5627]: ancient 1 0
table[5658]: went 84 0
table[5687]: they've 1 0
table[5700]: fly 4 0
table[5714]: repent 1 0
table[5720]: wept 1 0
table[5729]: claws 2 0
table[5753]: through 19 0
table[5767]: were 124 0
table[5773]: foe 1 0
table[5782]: wert 3 0
table[5786]: for 357 0
table[5793]: for't 1 0
table[5803]: neatly 2 0
table[5804]: bewailed 1 1
table[5808]: hawks 2 0
table[5813]: west 3 0
table[5836]: taller 2 0
table[5916]: gerard 2 0
table[5919]: histories 1 0
table[5966]: ful 1 0
table[5968]: fun 3 0
