table[0]:  3 0
table[3657]: nearer 9 0
table[3664]: did 183 0
table[3665]: die 29 0
table[3667]: dig 3 0
table[3668]: shrinking 7 0
table[3669]: sh 3 0
table[3676]: so 633 0
table[3682]: construed 1 0
table[3699]: whoever 3 0
table[3703]: gentlemen 1 0
table[3707]: to 2451 0
table[3722]: buried 11 0
table[3739]: up 247 0
table[3742]: us 47 0
table[3759]: strains 1 0
table[3763]: vi 3 0
table[3767]: untainted 1 0
table[3787]: breeze 1 0
table[3790]: we 111 0
table[3792]: outside 7 1
table[3799]: ruining 1 0
table[3825]: xi 1 0
table[3851]: ceiling 1 0
table[3852]: ye 5 0
table[3853]: dog 3 0
table[3870]: contented 7 0
table[3881]: nearly 23 0
table[3915]: style 5 0
table[3952]: gain 7 0
table[3958]: gait 1 0
table[3964]: dry 17 0
table[4009]: pull 1 0
table[4037]: due 13 0
table[4046]: dun 1 0
table[4067]: game 23 0
table[4092]: disdains 1 0
table[4102]: sternly 1 0
table[4115]: various 1 0
table[4125]: wasting 3 0
table[4136]: gaol 1 0
table[4153]: reviewest 1 0
table[4161]: dye 1 0
table[4188]: pure 3 0
table[4210]: tumbled 1 0
table[4219]: attended 1 0
table[4222]: push 1 0
table[4233]: puss 1 0
table[4250]: wrackful 1 0
table[4264]: puts 1 0
table[4284]: gate 1 0
table[4304]: fruit 1 0
table[4317]: normans 1 0
table[4322]: moan 9 0
table[4337]: friendship 1 0
table[4339]: saucepans 1 0
table[4346]: gave 39 0
table[4353]: copyright 3 0
table[4381]: mock 117 0
table[4391]: ear 17 0
table[4393]: eat 41 0
table[4443]: muttering 5 0
table[4470]: gaze 3 0
table[4487]: knuckles 1 0
table[4489]: amends 1 0
table[4509]: eel 3 0
table[4566]: egg 1 0
table[4624]: pennyworth 1 0
table[4654]: ornament 9 0
table[4661]: settled 7 0
table[4662]: keeps 9 0
table[4665]: quarrelled 1 0
table[4671]: express 3 0
table[4672]: vassal 3 0
table[4688]: inhearse 1 0
table[4708]: asked 35 0
table[4709]: paint 1 0
table[4711]: crests 1 0
table[4722]: secure 1 0
table[4748]: sweets 11 0
table[4756]: moon 7 0
table[4776]: difference 1 0
table[4780]: end 59 0
table[4791]: featureless 1 0
table[4806]: evening 9 0
table[4832]: pairs 1 0
table[4837]: afore 1 0
table[4840]: more 233 0
table[4849]: morn 3 0
